YEAR,TAXON,STATUS,COUNT,PROVINCE
2010,Mosses,EXTIRPATED,1,NT
2015,Arthropods,SPECIAL CONCERN,3,AB
2011,Molluscs,SPECIAL CONCERN,45,BC
2019,Vascular Plants,THREATENED,33,BC
2014,Amphibians,ENDANGERED,36,NT
2016,Arthropods,ENDANGERED,30,ON
2016,Birds,EXTINCT,6,AB
2016,Lichens,THREATENED,24,QC
2019,Molluscs,ENDANGERED,46,YT
2017,Molluscs,THREATENED,7,MB
2014,Fishes,EXTINCT,19,BC
2017,Amphibians,ENDANGERED,14,NU
2019,Mosses,EXTIRPATED,13,NL
2019,Vascular Plants,SPECIAL CONCERN,19,YT
2018,Vascular Plants,SPECIAL CONCERN,12,PE
2014,Fishes,THREATENED,4,NS
2018,Fishes,ENDANGERED,35,BC
2018,Mosses,SPECIAL CONCERN,34,NU
2018,Mammals,SPECIAL CONCERN,41,QC
2019,Birds,EXTINCT,1,PE
2019,Mammals,EXTIRPATED,7,NU
2010,Birds,EXTINCT,40,NU
2015,Mosses,EXTINCT,34,NT
2014,Lichens,ENDANGERED,6,YT
2013,Vascular Plants,EXTIRPATED,21,YT
2016,Vascular Plants,THREATENED,20,MB
2019,Arthropods,THREATENED,24,NT
2018,Amphibians,EXTIRPATED,41,NU
2016,Amphibians,EXTINCT,18,MB
2019,Amphibians,ENDANGERED,31,PE
2013,Reptiles,EXTIRPATED,44,NU
2012,Molluscs,ENDANGERED,38,QC
2016,Amphibians,THREATENED,3,NL
2017,Amphibians,SPECIAL CONCERN,1,QC
2014,Lichens,EXTIRPATED,39,AB
2018,Mammals,THREATENED,38,NT
2016,Lichens,EXTIRPATED,9,NS
2012,Mammals,SPECIAL CONCERN,24,NL
2011,Arthropods,THREATENED,27,PE
2012,Reptiles,ENDANGERED,1,BC
2013,Birds,THREATENED,42,NL
2012,Mosses,SPECIAL CONCERN,12,NL
2012,Arthropods,THREATENED,47,NS
2014,Amphibians,EXTIRPATED,40,NU
2010,Arthropods,THREATENED,37,NT
2013,Molluscs,EXTIRPATED,22,QC
2016,Arthropods,SPECIAL CONCERN,28,AB
2016,Reptiles,EXTIRPATED,28,SK
2010,Birds,THREATENED,39,NT
2016,Mammals,EXTINCT,1,QC
2012,Reptiles,EXTINCT,45,SK
2012,Birds,ENDANGERED,13,NT
2016,Mammals,ENDANGERED,34,ON
2011,Mammals,EXTINCT,30,SK
2016,Vascular Plants,ENDANGERED,38,AB
2011,Amphibians,SPECIAL CONCERN,21,QC
2019,Mammals,ENDANGERED,10,NL
2017,Fishes,EXTINCT,33,BC
2016,Molluscs,EXTIRPATED,3,AB
2016,Amphibians,EXTINCT,4,AB
2013,Amphibians,ENDANGERED,14,ON
2010,Reptiles,EXTINCT,32,AB
2019,Reptiles,SPECIAL CONCERN,42,YT
2016,Arthropods,EXTIRPATED,42,ON
2016,Vascular Plants,SPECIAL CONCERN,23,AB
2012,Mosses,THREATENED,8,YT
2010,Mosses,EXTINCT,3,NL
2011,Reptiles,EXTINCT,6,NL
2012,Reptiles,EXTIRPATED,45,NB
2011,Molluscs,EXTINCT,4,PE
2016,Birds,EXTIRPATED,40,MB
2012,Molluscs,EXTINCT,20,YT
2010,Mosses,THREATENED,2,YT
2019,Mosses,THREATENED,16,SK
2015,Mammals,SPECIAL CONCERN,28,ON
2010,Reptiles,SPECIAL CONCERN,3,AB
2019,Fishes,SPECIAL CONCERN,1,NS
2019,Molluscs,THREATENED,34,YT
2017,Vascular Plants,EXTINCT,48,YT
2010,Vascular Plants,ENDANGERED,1,BC
2012,Reptiles,ENDANGERED,31,AB
2013,Lichens,THREATENED,24,QC
2010,Birds,ENDANGERED,41,ON
2016,Mammals,EXTIRPATED,1,MB
2013,Molluscs,SPECIAL CONCERN,2,MB
2015,Mammals,EXTINCT,26,NU
2018,Amphibians,SPECIAL CONCERN,41,YT
2015,Mammals,EXTINCT,48,QC
2018,Mosses,ENDANGERED,1,PE
2011,Mammals,THREATENED,26,NT
2012,Vascular Plants,EXTIRPATED,16,AB
2011,Reptiles,EXTINCT,22,NS
2012,Vascular Plants,ENDANGERED,10,NU
2019,Amphibians,THREATENED,39,NB
2017,Mosses,ENDANGERED,49,AB
2015,Lichens,EXTINCT,6,NU
2015,Fishes,THREATENED,45,AB
2019,Molluscs,ENDANGERED,29,AB
2011,Birds,EXTINCT,22,SK
2010,Amphibians,EXTIRPATED,46,AB
2013,Arthropods,THREATENED,46,NT
2015,Mosses,THREATENED,17,AB
2019,Mosses,EXTIRPATED,24,BC
2017,Amphibians,ENDANGERED,1,QC
2014,Lichens,EXTINCT,4,SK
2010,Arthropods,SPECIAL CONCERN,41,NT
2019,Molluscs,ENDANGERED,28,NS
2011,Lichens,EXTIRPATED,37,AB
2015,Lichens,THREATENED,12,BC
2017,Vascular Plants,EXTIRPATED,38,NU
2017,Amphibians,ENDANGERED,46,NS
2014,Mammals,EXTIRPATED,46,PE
2015,Birds,SPECIAL CONCERN,29,AB
2014,Birds,THREATENED,21,NL
2016,Amphibians,ENDANGERED,23,MB
2015,Birds,SPECIAL CONCERN,42,NU
2017,Mammals,EXTINCT,9,BC
2017,Mosses,ENDANGERED,27,NL
2016,Molluscs,THREATENED,11,NB
2017,Arthropods,THREATENED,6,MB
2016,Arthropods,SPECIAL CONCERN,7,ON
2019,Mammals,THREATENED,27,NL
2010,Arthropods,EXTINCT,24,MB
2014,Mosses,THREATENED,26,BC
2011,Birds,EXTIRPATED,46,BC
2010,Mosses,ENDANGERED,5,NS
2010,Lichens,THREATENED,4,NS
2011,Molluscs,SPECIAL CONCERN,3,QC
2016,Amphibians,ENDANGERED,26,PE
2018,Birds,ENDANGERED,14,NB
2010,Arthropods,EXTIRPATED,28,ON
2014,Molluscs,EXTIRPATED,11,BC
2011,Lichens,THREATENED,48,NL
2014,Lichens,SPECIAL CONCERN,27,YT
2012,Mammals,EXTIRPATED,19,NT
2014,Reptiles,SPECIAL CONCERN,49,NT
2018,Molluscs,ENDANGERED,25,AB
2015,Reptiles,THREATENED,16,NB
2017,Mosses,EXTINCT,23,YT
2010,Amphibians,EXTIRPATED,25,SK
2015,Molluscs,EXTIRPATED,45,PE
2011,Lichens,EXTIRPATED,26,QC
2018,Amphibians,SPECIAL CONCERN,14,NT
2011,Mosses,ENDANGERED,17,NU
2017,Arthropods,ENDANGERED,11,ON
2010,Mammals,ENDANGERED,34,NU
2012,Lichens,ENDANGERED,22,PE
2017,Birds,EXTINCT,41,QC
2011,Birds,ENDANGERED,11,NT
2015,Mammals,ENDANGERED,14,QC
2013,Molluscs,EXTIRPATED,15,SK
2017,Amphibians,SPECIAL CONCERN,26,AB
2016,Birds,EXTIRPATED,42,NU
2015,Birds,SPECIAL CONCERN,28,QC
2015,Lichens,SPECIAL CONCERN,46,NU
2011,Vascular Plants,EXTIRPATED,10,MB
2015,Arthropods,SPECIAL CONCERN,4,PE
2018,Birds,THREATENED,46,NB
2018,Vascular Plants,SPECIAL CONCERN,12,MB
2015,Mammals,EXTIRPATED,42,YT
2012,Fishes,SPECIAL CONCERN,16,NU
2014,Mammals,ENDANGERED,31,NS
2019,Lichens,SPECIAL CONCERN,39,MB
2011,Birds,THREATENED,41,NS
2018,Amphibians,EXTIRPATED,7,QC
2014,Lichens,THREATENED,42,NB
2011,Amphibians,SPECIAL CONCERN,37,ON
2019,Reptiles,EXTIRPATED,42,NL
2019,Vascular Plants,ENDANGERED,6,NT
2010,Amphibians,EXTINCT,46,ON
2018,Mosses,SPECIAL CONCERN,39,NL
2015,Amphibians,EXTINCT,5,NB
2015,Fishes,SPECIAL CONCERN,27,BC
2011,Reptiles,ENDANGERED,21,NT
2011,Mammals,EXTINCT,37,NL
2018,Vascular Plants,SPECIAL CONCERN,39,ON
2013,Reptiles,ENDANGERED,34,NS
2014,Vascular Plants,ENDANGERED,26,NU
2016,Molluscs,EXTINCT,3,ON
2016,Mosses,EXTINCT,44,PE
2018,Fishes,SPECIAL CONCERN,29,BC
2016,Arthropods,EXTINCT,28,ON
2010,Mammals,ENDANGERED,10,NB
2012,Birds,SPECIAL CONCERN,21,NU
2010,Molluscs,EXTIRPATED,4,AB
2019,Reptiles,ENDANGERED,30,NT
2019,Amphibians,THREATENED,1,NU
2012,Molluscs,EXTIRPATED,19,SK
2014,Amphibians,EXTINCT,17,MB
2015,Vascular Plants,SPECIAL CONCERN,7,NB
2014,Vascular Plants,ENDANGERED,47,AB
2012,Mosses,SPECIAL CONCERN,42,BC
2017,Molluscs,THREATENED,38,NB
2012,Fishes,EXTINCT,9,PE
2019,Molluscs,ENDANGERED,13,NB
2017,Reptiles,EXTINCT,35,YT
2015,Arthropods,ENDANGERED,50,MB
2019,Lichens,EXTINCT,21,ON
2011,Amphibians,EXTINCT,49,YT
2011,Molluscs,EXTINCT,42,MB
2018,Lichens,EXTIRPATED,39,SK
2014,Mosses,EXTINCT,8,PE
2014,Arthropods,EXTINCT,48,MB
2011,Arthropods,THREATENED,24,BC
2019,Amphibians,ENDANGERED,10,NS
2017,Birds,THREATENED,43,NS
2018,Fishes,EXTINCT,29,PE
2018,Fishes,EXTINCT,32,NS
2011,Amphibians,EXTIRPATED,1,NU
2016,Mosses,EXTINCT,27,NS
2019,Mosses,THREATENED,20,NS
2017,Vascular Plants,EXTINCT,38,NU
2019,Vascular Plants,SPECIAL CONCERN,43,SK
2013,Arthropods,EXTINCT,35,NB
2015,Amphibians,EXTINCT,30,SK
2019,Molluscs,SPECIAL CONCERN,1,SK
2019,Mammals,EXTINCT,16,QC
2019,Mammals,EXTINCT,11,NT
2018,Lichens,THREATENED,29,YT
2014,Birds,EXTINCT,13,MB
2011,Fishes,THREATENED,16,QC
2011,Fishes,THREATENED,40,AB
2012,Reptiles,SPECIAL CONCERN,17,NL
2019,Vascular Plants,EXTINCT,31,NT
2016,Mammals,EXTIRPATED,43,QC
2012,Amphibians,ENDANGERED,48,NU
2011,Lichens,ENDANGERED,20,YT
2018,Fishes,ENDANGERED,2,ON
2012,Arthropods,EXTINCT,24,NB
2010,Reptiles,EXTINCT,28,QC
2010,Reptiles,SPECIAL CONCERN,4,YT
2015,Amphibians,THREATENED,14,YT
2019,Amphibians,SPECIAL CONCERN,7,YT
2012,Fishes,EXTINCT,38,AB
2013,Vascular Plants,SPECIAL CONCERN,8,NL
2014,Fishes,SPECIAL CONCERN,15,BC
2017,Mammals,SPECIAL CONCERN,16,QC
2016,Birds,EXTINCT,26,NB
2013,Amphibians,THREATENED,14,NL
2017,Amphibians,SPECIAL CONCERN,27,MB
2011,Amphibians,EXTINCT,30,ON
2011,Birds,ENDANGERED,14,PE
2016,Lichens,ENDANGERED,31,PE
2019,Vascular Plants,EXTIRPATED,26,BC
2010,Arthropods,EXTINCT,42,NS
2013,Vascular Plants,THREATENED,32,MB
2013,Mammals,EXTIRPATED,5,NS
2015,Mammals,THREATENED,31,AB
2012,Reptiles,ENDANGERED,1,SK
2017,Mosses,ENDANGERED,12,NU
2015,Fishes,THREATENED,5,ON
2019,Molluscs,ENDANGERED,31,BC
2012,Vascular Plants,SPECIAL CONCERN,1,NS
2018,Arthropods,EXTINCT,20,AB
2010,Lichens,SPECIAL CONCERN,2,NS
2014,Mammals,EXTIRPATED,35,BC
2019,Molluscs,ENDANGERED,16,SK
2018,Fishes,SPECIAL CONCERN,22,SK
2010,Fishes,THREATENED,26,BC
2012,Birds,EXTINCT,24,QC
2018,Mosses,EXTINCT,34,SK
2013,Birds,EXTINCT,8,QC
2016,Mosses,EXTIRPATED,50,NB
2018,Mammals,SPECIAL CONCERN,10,NS
2015,Birds,SPECIAL CONCERN,45,MB
2017,Mosses,SPECIAL CONCERN,7,NB
2013,Molluscs,SPECIAL CONCERN,10,PE
2015,Birds,ENDANGERED,50,MB
2011,Lichens,EXTIRPATED,43,BC
2018,Mammals,ENDANGERED,32,ON
2019,Vascular Plants,EXTIRPATED,19,QC
2015,Arthropods,EXTIRPATED,9,PE
2013,Lichens,EXTINCT,43,SK
2019,Lichens,SPECIAL CONCERN,44,AB
2013,Mammals,SPECIAL CONCERN,4,MB
2014,Arthropods,EXTIRPATED,49,AB
2016,Arthropods,EXTINCT,38,SK
2015,Mosses,SPECIAL CONCERN,44,NU
2016,Mosses,ENDANGERED,37,MB
2010,Molluscs,SPECIAL CONCERN,1,YT
2012,Molluscs,THREATENED,14,SK
2011,Vascular Plants,THREATENED,3,NT
2018,Mosses,SPECIAL CONCERN,34,NS
2012,Arthropods,SPECIAL CONCERN,36,BC
2013,Reptiles,EXTIRPATED,44,ON
2019,Arthropods,ENDANGERED,3,SK
2012,Lichens,EXTINCT,10,NS
2019,Birds,SPECIAL CONCERN,36,NS
2012,Fishes,SPECIAL CONCERN,9,PE
2017,Mosses,ENDANGERED,25,NS
2013,Reptiles,EXTIRPATED,29,SK
2010,Fishes,THREATENED,17,PE
2010,Fishes,ENDANGERED,43,MB
2010,Vascular Plants,SPECIAL CONCERN,14,AB
2017,Amphibians,SPECIAL CONCERN,40,YT
2013,Lichens,EXTINCT,2,PE
2017,Lichens,SPECIAL CONCERN,45,NT
2018,Mammals,THREATENED,19,NS
2019,Amphibians,EXTINCT,38,SK
2011,Mammals,SPECIAL CONCERN,23,NS
2012,Lichens,THREATENED,6,NB
2012,Fishes,THREATENED,19,MB
2011,Birds,EXTINCT,5,NS
2018,Amphibians,ENDANGERED,7,NB
2013,Reptiles,EXTIRPATED,14,QC
2017,Birds,THREATENED,50,NU
2016,Molluscs,ENDANGERED,36,BC
2014,Arthropods,SPECIAL CONCERN,5,NT
2016,Mosses,ENDANGERED,45,ON
2018,Fishes,ENDANGERED,3,QC
2011,Reptiles,EXTIRPATED,25,SK
2011,Mammals,EXTIRPATED,14,NS
2011,Lichens,ENDANGERED,45,AB
2018,Vascular Plants,EXTIRPATED,13,ON
2017,Arthropods,ENDANGERED,45,BC
2010,Vascular Plants,THREATENED,50,NT
2013,Arthropods,THREATENED,44,SK
2014,Birds,ENDANGERED,2,NS
2019,Mosses,EXTINCT,2,ON
2013,Birds,EXTIRPATED,18,NS
2017,Fishes,EXTINCT,43,QC
2017,Birds,THREATENED,24,SK
2018,Mosses,EXTIRPATED,11,MB
2018,Reptiles,THREATENED,6,QC
2013,Reptiles,SPECIAL CONCERN,44,NL
2016,Lichens,EXTIRPATED,38,NT
2013,Fishes,EXTINCT,28,AB
2017,Birds,EXTINCT,44,PE
2018,Arthropods,SPECIAL CONCERN,7,SK
2011,Mammals,EXTIRPATED,1,PE
2018,Mammals,THREATENED,38,NB
2013,Amphibians,EXTINCT,11,AB
2013,Amphibians,SPECIAL CONCERN,30,NS
2017,Vascular Plants,EXTIRPATED,42,AB
2014,Molluscs,EXTIRPATED,44,ON
2011,Vascular Plants,THREATENED,40,MB
2014,Mammals,THREATENED,24,NT
2014,Reptiles,SPECIAL CONCERN,25,YT
2013,Birds,THREATENED,29,PE
2019,Arthropods,SPECIAL CONCERN,14,MB
2018,Lichens,ENDANGERED,8,QC
2018,Fishes,THREATENED,13,YT
2012,Reptiles,EXTINCT,23,NS
2010,Lichens,ENDANGERED,38,MB
2018,Vascular Plants,SPECIAL CONCERN,26,BC
2016,Vascular Plants,ENDANGERED,20,NS
2018,Amphibians,EXTINCT,19,QC
2019,Mosses,EXTIRPATED,38,PE
2017,Reptiles,ENDANGERED,2,PE
2019,Amphibians,EXTINCT,12,AB
2014,Vascular Plants,THREATENED,26,NB
2012,Molluscs,EXTINCT,49,BC
2016,Amphibians,EXTIRPATED,27,ON
2012,Arthropods,EXTINCT,44,ON
2017,Lichens,ENDANGERED,34,ON
2018,Molluscs,SPECIAL CONCERN,27,MB
2014,Lichens,EXTINCT,49,MB
2014,Reptiles,EXTINCT,11,BC
2011,Amphibians,THREATENED,16,BC
2010,Lichens,THREATENED,16,QC
2010,Amphibians,EXTINCT,9,NT
2018,Mosses,EXTIRPATED,9,ON
2018,Mammals,EXTIRPATED,15,AB
2013,Vascular Plants,EXTINCT,12,AB
2016,Mosses,EXTIRPATED,20,QC
2015,Vascular Plants,EXTINCT,40,PE
2011,Amphibians,EXTINCT,26,PE
2011,Mammals,SPECIAL CONCERN,49,MB
2015,Molluscs,THREATENED,5,QC
2011,Mosses,EXTIRPATED,5,MB
2013,Birds,THREATENED,35,SK
2013,Arthropods,SPECIAL CONCERN,13,ON
2013,Mammals,EXTIRPATED,20,QC
2018,Mammals,ENDANGERED,14,NT
2016,Mosses,EXTINCT,28,MB
2010,Mosses,ENDANGERED,3,MB
2014,Lichens,EXTINCT,4,AB
2019,Mammals,THREATENED,40,BC
2019,Vascular Plants,EXTIRPATED,11,NB
2014,Arthropods,SPECIAL CONCERN,26,NL
2018,Vascular Plants,ENDANGERED,11,NT
2013,Fishes,THREATENED,32,NB
2011,Lichens,ENDANGERED,3,PE
2016,Arthropods,EXTIRPATED,15,PE
2011,Mammals,EXTINCT,12,ON
2014,Fishes,ENDANGERED,26,NS
2015,Vascular Plants,ENDANGERED,21,NL
2011,Lichens,SPECIAL CONCERN,35,BC
2011,Mosses,THREATENED,47,AB
2013,Vascular Plants,EXTIRPATED,30,PE
2014,Lichens,SPECIAL CONCERN,32,NU
2010,Amphibians,EXTIRPATED,35,NL
2018,Mammals,EXTIRPATED,41,QC
2018,Vascular Plants,EXTINCT,39,NB
2018,Mammals,EXTINCT,9,QC
2015,Amphibians,THREATENED,40,NL
2015,Reptiles,EXTINCT,38,SK
2014,Lichens,EXTIRPATED,40,PE
2014,Birds,ENDANGERED,47,NB
2011,Reptiles,THREATENED,21,BC
2013,Mosses,EXTINCT,35,NB
2010,Mammals,ENDANGERED,47,PE
2011,Amphibians,EXTINCT,2,MB
2017,Amphibians,ENDANGERED,14,SK
2014,Vascular Plants,THREATENED,11,MB
2016,Molluscs,THREATENED,23,NS
2014,Amphibians,SPECIAL CONCERN,43,NT
2019,Mosses,SPECIAL CONCERN,25,AB
2010,Birds,EXTIRPATED,36,ON
2017,Amphibians,ENDANGERED,23,AB
2013,Mammals,EXTIRPATED,44,PE
2015,Mammals,ENDANGERED,46,PE
2019,Mosses,EXTINCT,3,SK
2013,Reptiles,THREATENED,17,NS
2017,Vascular Plants,THREATENED,27,NB
2017,Birds,THREATENED,24,YT
2010,Mosses,SPECIAL CONCERN,35,ON
2018,Mosses,THREATENED,5,SK
2011,Mosses,EXTIRPATED,35,NS
2019,Molluscs,EXTINCT,24,YT
2011,Arthropods,EXTINCT,44,SK
2011,Fishes,THREATENED,48,NL
2016,Birds,EXTIRPATED,42,SK
2019,Amphibians,ENDANGERED,6,MB
2010,Reptiles,ENDANGERED,42,NS
2012,Vascular Plants,ENDANGERED,38,BC
2011,Reptiles,ENDANGERED,11,BC
2010,Mosses,ENDANGERED,22,SK
2018,Fishes,EXTIRPATED,28,ON
2014,Fishes,ENDANGERED,44,NB
2018,Fishes,EXTIRPATED,42,YT
2013,Fishes,EXTIRPATED,20,NS
2014,Amphibians,SPECIAL CONCERN,6,NU
2015,Vascular Plants,ENDANGERED,27,NB
2016,Mosses,ENDANGERED,21,YT
2014,Birds,THREATENED,21,NS
2014,Vascular Plants,EXTIRPATED,45,QC
2014,Mosses,EXTIRPATED,40,NB
2018,Reptiles,THREATENED,42,NB
2014,Mosses,THREATENED,44,SK
2017,Mosses,EXTINCT,30,SK
2011,Birds,EXTINCT,3,MB
2017,Amphibians,EXTINCT,38,NS
2017,Vascular Plants,EXTINCT,15,AB
2011,Mammals,EXTINCT,24,AB
2016,Mammals,EXTINCT,21,NL
2013,Birds,EXTIRPATED,14,SK
2014,Mosses,THREATENED,16,NU
2012,Reptiles,SPECIAL CONCERN,30,AB
2012,Birds,SPECIAL CONCERN,49,ON
2016,Arthropods,EXTINCT,30,NU
2013,Molluscs,ENDANGERED,32,ON
2010,Vascular Plants,ENDANGERED,2,QC
2013,Mammals,ENDANGERED,34,BC
2012,Lichens,EXTIRPATED,19,QC
2016,Lichens,EXTIRPATED,46,NU
2015,Reptiles,ENDANGERED,45,NT
2017,Fishes,SPECIAL CONCERN,12,YT
2012,Birds,EXTIRPATED,50,ON
2011,Vascular Plants,THREATENED,33,NB
2017,Vascular Plants,EXTIRPATED,46,YT
2017,Reptiles,SPECIAL CONCERN,35,YT
2011,Mammals,ENDANGERED,38,AB
2015,Reptiles,ENDANGERED,10,BC
2010,Vascular Plants,EXTINCT,27,SK
2017,Birds,EXTINCT,35,NB
2017,Fishes,ENDANGERED,18,PE
2019,Arthropods,THREATENED,3,NU
2019,Fishes,SPECIAL CONCERN,36,NB
2012,Amphibians,ENDANGERED,41,NB
2010,Amphibians,THREATENED,4,NL
2013,Molluscs,THREATENED,43,NU
2014,Mosses,EXTIRPATED,28,QC
2012,Vascular Plants,EXTIRPATED,46,YT
2013,Mosses,EXTINCT,21,NU
2011,Vascular Plants,SPECIAL CONCERN,49,ON
2012,Fishes,SPECIAL CONCERN,15,MB
2015,Vascular Plants,ENDANGERED,5,BC
2014,Vascular Plants,EXTIRPATED,12,PE
2012,Lichens,EXTIRPATED,38,NS
2019,Molluscs,THREATENED,38,AB
2013,Lichens,SPECIAL CONCERN,42,NS
2015,Fishes,EXTIRPATED,10,PE
2017,Birds,THREATENED,5,BC
2016,Reptiles,EXTIRPATED,18,NU
2017,Mammals,THREATENED,41,NT
2016,Fishes,ENDANGERED,6,NT
2011,Reptiles,THREATENED,42,SK
2015,Arthropods,THREATENED,21,NL
2017,Lichens,THREATENED,22,NT
2019,Amphibians,SPECIAL CONCERN,14,MB
2016,Vascular Plants,EXTINCT,22,QC
2018,Arthropods,SPECIAL CONCERN,24,NU
2015,Lichens,ENDANGERED,19,NL
2012,Fishes,SPECIAL CONCERN,24,NS
2012,Vascular Plants,SPECIAL CONCERN,14,NL
2016,Lichens,SPECIAL CONCERN,29,NL
2012,Amphibians,THREATENED,36,QC
2014,Birds,ENDANGERED,32,NL
2011,Mammals,EXTINCT,30,NS
2011,Amphibians,EXTINCT,10,SK
2016,Mammals,SPECIAL CONCERN,43,MB
2019,Mammals,ENDANGERED,25,PE
2019,Mosses,ENDANGERED,50,AB
2014,Reptiles,THREATENED,45,SK
2015,Reptiles,SPECIAL CONCERN,46,AB
2012,Arthropods,ENDANGERED,46,NU
2011,Fishes,EXTIRPATED,11,NS
2014,Molluscs,EXTINCT,41,YT
2019,Amphibians,EXTIRPATED,49,ON
2013,Lichens,SPECIAL CONCERN,15,NL
2013,Reptiles,EXTIRPATED,34,NS
2017,Mosses,THREATENED,27,AB
2018,Arthropods,SPECIAL CONCERN,27,BC
2019,Reptiles,ENDANGERED,35,NB
2017,Fishes,EXTIRPATED,24,NU
2015,Reptiles,THREATENED,41,SK
2014,Mosses,EXTINCT,42,YT
2010,Lichens,ENDANGERED,6,NL
2016,Lichens,EXTINCT,25,NB
2017,Fishes,EXTIRPATED,50,NB
2015,Molluscs,SPECIAL CONCERN,2,NT
2013,Reptiles,ENDANGERED,17,QC
2017,Lichens,SPECIAL CONCERN,13,MB
2019,Molluscs,EXTIRPATED,50,MB
2012,Arthropods,SPECIAL CONCERN,33,MB
2017,Reptiles,ENDANGERED,24,QC
2014,Mammals,THREATENED,40,SK
2017,Molluscs,EXTIRPATED,38,YT
2017,Fishes,THREATENED,16,BC
2019,Birds,EXTIRPATED,42,NB
2011,Lichens,EXTIRPATED,17,NT
2016,Mosses,EXTINCT,50,SK
2016,Birds,EXTIRPATED,47,NT
2016,Lichens,SPECIAL CONCERN,20,NT
2019,Lichens,SPECIAL CONCERN,23,NT
2015,Reptiles,ENDANGERED,16,NU
2011,Molluscs,ENDANGERED,35,BC
2012,Lichens,ENDANGERED,6,NU
2010,Lichens,SPECIAL CONCERN,42,NB
2016,Reptiles,SPECIAL CONCERN,42,NS
2014,Mammals,EXTIRPATED,33,NB
2013,Birds,EXTINCT,32,NU
2014,Birds,EXTINCT,4,NB
2017,Mosses,THREATENED,25,MB
2013,Reptiles,THREATENED,48,YT
2010,Fishes,EXTIRPATED,42,SK
2015,Fishes,SPECIAL CONCERN,5,QC
2011,Reptiles,SPECIAL CONCERN,26,ON
2018,Mosses,EXTIRPATED,5,QC
2011,Fishes,EXTINCT,41,NS
2018,Arthropods,SPECIAL CONCERN,28,NB
2014,Vascular Plants,ENDANGERED,27,MB
2016,Mammals,EXTINCT,3,ON
2010,Fishes,EXTIRPATED,37,NS
2019,Lichens,EXTINCT,11,QC
2014,Reptiles,EXTINCT,32,NB
2015,Lichens,EXTIRPATED,43,NU
2018,Mosses,THREATENED,33,PE
2013,Mosses,ENDANGERED,13,AB
2019,Mammals,SPECIAL CONCERN,46,SK
2018,Fishes,THREATENED,44,BC
2019,Vascular Plants,THREATENED,28,NT
2018,Fishes,THREATENED,37,NU
2018,Arthropods,THREATENED,49,NB
2011,Arthropods,EXTIRPATED,36,ON
2017,Reptiles,EXTIRPATED,21,YT
2013,Amphibians,EXTIRPATED,28,NT
2015,Birds,EXTIRPATED,42,QC
2017,Birds,EXTIRPATED,42,QC
2012,Mosses,EXTIRPATED,42,ON
2012,Mosses,ENDANGERED,20,NT
2019,Arthropods,EXTIRPATED,29,NS
2017,Mammals,THREATENED,47,PE
2013,Birds,SPECIAL CONCERN,5,BC
2010,Arthropods,THREATENED,1,PE
2013,Molluscs,EXTINCT,14,ON
2014,Mosses,THREATENED,45,AB
2016,Amphibians,ENDANGERED,9,QC
2018,Molluscs,ENDANGERED,40,NL
2015,Arthropods,THREATENED,49,QC
2018,Amphibians,EXTINCT,8,BC
2018,Mammals,EXTIRPATED,39,NS
2015,Arthropods,SPECIAL CONCERN,11,ON
2014,Reptiles,THREATENED,31,ON
2012,Vascular Plants,EXTIRPATED,31,QC
2014,Lichens,THREATENED,43,NS
2015,Lichens,EXTINCT,15,YT
2019,Birds,ENDANGERED,16,NU
2012,Mosses,ENDANGERED,18,NS
2014,Reptiles,EXTINCT,25,YT
2014,Molluscs,EXTIRPATED,41,MB
2015,Reptiles,ENDANGERED,10,NL
2015,Reptiles,THREATENED,45,BC
2012,Mosses,ENDANGERED,50,AB
2016,Molluscs,THREATENED,29,AB
2013,Fishes,THREATENED,42,ON
2017,Vascular Plants,EXTINCT,18,PE
2010,Molluscs,ENDANGERED,16,NU
2012,Fishes,SPECIAL CONCERN,36,BC
2013,Vascular Plants,ENDANGERED,35,PE
2018,Lichens,ENDANGERED,34,SK
2012,Lichens,EXTIRPATED,49,SK
2019,Molluscs,EXTINCT,6,MB
2019,Molluscs,ENDANGERED,38,NL
2010,Molluscs,EXTINCT,16,PE
2012,Fishes,ENDANGERED,16,ON
2017,Mammals,SPECIAL CONCERN,14,PE
2011,Molluscs,EXTINCT,36,NB
2016,Mosses,EXTIRPATED,11,YT
2015,Molluscs,EXTINCT,14,QC
2018,Birds,EXTINCT,12,NU
2014,Arthropods,ENDANGERED,48,QC
2014,Amphibians,ENDANGERED,24,BC
2010,Molluscs,ENDANGERED,26,NB
2014,Birds,SPECIAL CONCERN,33,BC
2010,Birds,ENDANGERED,33,NU
2014,Reptiles,EXTINCT,17,SK
2019,Amphibians,ENDANGERED,1,SK
2012,Mammals,ENDANGERED,21,BC
2010,Molluscs,ENDANGERED,35,YT
2010,Reptiles,EXTINCT,49,PE
2011,Arthropods,EXTINCT,7,AB
2014,Lichens,THREATENED,6,ON
2011,Vascular Plants,ENDANGERED,12,NB
2012,Molluscs,ENDANGERED,9,ON
2015,Amphibians,EXTINCT,31,NL
2011,Mosses,SPECIAL CONCERN,3,AB
2013,Vascular Plants,ENDANGERED,19,NU
2017,Mosses,EXTIRPATED,13,NU
2018,Reptiles,EXTINCT,34,ON
2015,Vascular Plants,EXTINCT,40,MB
2016,Arthropods,ENDANGERED,3,BC
2012,Vascular Plants,THREATENED,46,AB
2018,Vascular Plants,EXTINCT,15,NU
